breed_primary,breed_secondary,breed_mixed,breed_unknown,name,age,sex,size,contact_city,contact_state,contact_zip,contact_country,FoundCity,FoundState,foundStateAbb,stateQ
Cocker Spaniel,,False,False,Tiffany,Senior,Female,Small,Oak Ridge,NJ,07438,US,,New Jersey,NJ,NJ
Yorkshire Terrier,,False,False,Twix-HOSPICE HOME NEEDED,Senior,Male,Small,Oak Ridge,NJ,07438,US,,New Jersey,NJ,NJ
Schnauzer,,False,False,Mika,Senior,Female,Small,Oak Ridge,NJ,07438,US,,New Jersey,NJ,NJ
Yorkshire Terrier,Norwich Terrier,True,False,Steve,Senior,Male,Small,Oak Ridge,NJ,07438,US,,New Jersey,NJ,NJ
Cocker Spaniel,,False,False,Tabitha,Senior,Female,Small,Oak Ridge,NJ,07438,US,,New Jersey,NJ,NJ
Chihuahua,Corgi,True,False,Toto,Senior,Male,Small,Oak Ridge,NJ,07438,US,,New Jersey,NJ,NJ
Chihuahua,,False,False,Tommy,Adult,Male,Small,Oak Ridge,NJ,07438,US,,New Jersey,NJ,NJ
Yorkshire Terrier,Cairn Terrier,True,False,Spikey Girl,Senior,Female,Small,Oak Ridge,NJ,07438,US,,New Jersey,NJ,NJ
Chihuahua,,False,False,Teeny Tiny Tina,Adult,Female,Small,Oak Ridge,NJ,07438,US,,New Jersey,NJ,NJ
Shih Tzu,,False,False,Toby,Senior,Male,Small,Oak Ridge,NJ,07438,US,,New Jersey,NJ,NJ
Shih Tzu,Lhasa Apso,True,False,Simon,Senior,Male,Small,Oak Ridge,NJ,07438,US,,New Jersey,NJ,NJ
Shih Tzu,Lhasa Apso,True,False,Sparky,Young,Male,Small,Oak Ridge,NJ,07438,US,,New Jersey,NJ,NJ
Dachshund,Chihuahua,True,False,Archie,Senior,Male,Small,Oak Ridge,NJ,07438,US,,New Jersey,NJ,NJ
Dachshund,Corgi,True,False,Ralphie,Young,Male,Small,Oak Ridge,NJ,07438,US,,New Jersey,NJ,NJ
